osmid,highway,lanes,oneway,reversed,length,bridge,speed_kph,travel_time,maxspeed,ref,name,junction,access,width,tunnel
6565384,residential,,False,True,82.0863169943352,,35.78807267343486,8.2572410052962,,,,,,,
6565471,residential,,False,False,60.838874786076154,,35.78807267343486,6.119914621511612,,,,,,,
272515907,residential,,False,False,56.81505191923445,,35.78807267343486,5.715149535310622,,,Sky Ridge Drive,,,,
272515907,residential,,False,True,17.02332453503453,,35.78807267343486,1.71241320775608,,,Sky Ridge Drive,,,,
6565471,residential,,False,True,60.838874786076154,,35.78807267343486,6.119914621511612,,,,,,,
323085409,motorway_link,1,True,False,47.18264529871848,,88.5137,1.9189969809801932,,,,,,,
388010991,motorway_link,3,True,False,42.643345029789714,,88.5137,1.734376058251355,,,,,,,
38309161,motorway_link,1,True,False,312.6245246737926,,88.5137,12.714961512462517,,CTH M,,,,,
"[323078881, 579620826]",secondary,4,True,False,100.6925302506769,,51.91636569037656,6.982251243554017,,CTH S,Mineral Point Road,,,,
"[38197464, 700438306, 38197419, 1461609532]",primary,"['4', '3']",True,False,195.30454195634672,yes,56.3269,12.48242582217108,35 mph,US 151,East Washington Avenue,,,,
6630765,residential,,False,False,69.96388272956194,,35.78807267343486,7.03781899977485,,,Norwalk Circle,,,,
"[314944042, 770939197]",tertiary,,False,False,236.80056157534938,,52.30355,16.298741130788592,"['30 mph', '35 mph']",,North High Point Road,,,,
314944042,tertiary,,False,True,118.88648269411776,,56.3269,7.598347107666567,35 mph,,North High Point Road,,,,
6566545,residential,,False,False,49.560298458588136,,35.78807267343486,4.98537811965925,,,,,,,
768300043,residential,,False,False,40.64677120329246,,35.78807267343486,4.088747043382165,,,Expo Way,,,,
